AUTOMATIC,MANUAL
be ready to do our own deep personal work yet  ,be ready to do our own deep personal work yet  
so where else can we start on this topic what ,so where else can we start on this topic what 
else can we do offer three smaller steps first  ,else can we do I'll offer three smaller steps first  
when you find yourself wanting to say we're ,when you find yourself wanting to say we're 
like family around work or organizations try  ,like family around work or organizations try  
to get clearer in your communication and ,to get clearer in your communication and 
use language that has better boundaries  ,use language that has better boundaries  
as brene Brown says clear is kind unclear ,as Brené Brown says clear is kind unclear 
is unkind so if you find yourself wanting  ,is unkind so if you find yourself wanting  
to say we're like family but you're really ,to say we're like family but you're really 
kind of asking for a favor clarify that say  ,kind of asking for a favor clarify that say  
Hey you know we actually need this deliverable ,Hey you know we actually need this deliverable 
a week sooner what can we do to achieve that  ,a week sooner what can we do to achieve that  
or if you're just trying to communicate a value ,or if you're just trying to communicate a value 
about your organization again clarify the language  ,about your organization again clarify the language  
and use boundary say it's a priority for ,and use boundary say it's a priority for 
our teams to feel trust and connection  ,our teams to feel trust and connection  
or as my friend Trey the CEO of chronologic ,or as my friend Trey the CEO of chronologic 
says to his team he says we're not like a  ,says to his team he says we're not like a  
family we're like a professional sports team it ,family we're like a professional sports team it 
still infers that same warmth and camaraderie but  ,still infers that same warmth and camaraderie but  
within the boundaries of a workplace now when ,within the boundaries of a workplace now when 
it comes to this topic it's not to say that  ,it comes to this topic it's not to say that  
you can't have deep meaningful relationships ,you can't have deep meaningful relationships 
from work but it is to point out that we need  ,from work but it is to point out that we need  
to practice healthy boundaries so that we can ,to practice healthy boundaries so that we can 
sustain healthy workplaces and relationships,sustain healthy workplaces and relationships
BLANK,The second tip I'll offer is to 
actually do a work to learn and model ,actually do the work to learn and model 
healthy boundaries for one another  ,healthy boundaries for one another  
if you are a people pleaser who tends to overscope ,if you are a people pleaser who tends to overscope 
and over commit try buying some time before you  ,and over commit try buying some time before you  
respond and commit say hey I need to evaluate this ,respond and commit say hey I need to evaluate this 
against my other priorities can I get back to you  ,against my other priorities can I get back to you  
by the end of the day give yourself some time ,by the end of the day give yourself some time 
for that behavioral change instead of getting  ,for that behavioral change instead of getting  
stuck in the same repetitive pattern when you're ,stuck in the same repetitive pattern when you're 
communicating boundaries clarify what you need  ,communicating boundaries clarify what you need  
and what the impact will be if you don't get ,and what the impact will be if you don't get 
that need met say if we need this product a  ,that need met say if we need this product a  
month sooner I'm going to need the help of two ,month sooner I'm gonna need the help of two 
other people otherwise the quality is really  ,other people otherwise the quality is really  
going to be at risk and we might either lose team ,gonna be at risk and we might either lose team 
members or customers remember that when you're  ,members or customers remember that when you're  
communicating boundaries it's not a me versus you ,communicating boundaries it's not a me versus you 
fight but it's what we need to do to collectively  ,fight but it's what we need to do to collectively  
come together to Resource ourselves to sustain ,come together to Resource ourselves to sustain 
our organizations workplaces and relationships  ,our organizations workplaces and relationships  
last tip I will offer is to see if you can find ,last tip I will offer is to see if you can find 
one way to empower mental health for yourself  ,one way to empower mental health for yourself  
or others this year I will recognize that just ,or others this year I will recognize that just 
when it comes to talking about mental emotional  ,when it comes to talking about mental emotional  
health our behaviors in our past that can feel ,health our behaviors and our past that can feel 
tender personal but it can especially feel a  ,tender personal but it can especially feel a  
little scary or stigmatized when we were talking ,little scary or stigmatized when we are talking 
about working with experts like psychologists  ,about working with experts like psychologists  
or psychotherapists I'll close here by offering a ,or psychotherapists I'll close here by offering a 
reframe in that thinking a reframe in that stigma  ,reframe in that thinking a reframe in that stigma  
when it comes to any other important part of our ,when it comes to any other important part of our 
lives we seek out experts when it comes to our  ,lives we seek out experts when it comes to our  
physical health we seek out doctors Financial ,physical health we seek out doctors Financial 
Health we seek out financial advisors why is it  ,Health we seek out financial advisors why is it  
that when it comes to our mental health we ,that when it comes to our mental health we 
think we should take care of it on our own  ,think we should take care of it on our own  
we would never look at a friend who's having a ,we would never look at a friend who's having a 
heart attack and be like yo you should really  ,heart attack and be like yo you should really  
take care of that yourself otherwise you're kind ,take care of that yourself otherwise you're kind 
of weak you should not need to go to the hospital  ,of weak you should not need to go to the hospital  
why is it that we think we can grow or develop our ,why is it that we think we can grow or develop our 
mental health when most of us don't have the tools  ,mental health when most of us don't have the tools  
or education to do so so today whether it is your ,or education to do so so today whether it is your 
propensity to burn out your struggle with setting  ,propensity to burn out your struggle with setting  
boundaries or something different I hope you can ,boundaries or something different I hope you can 
feel a little bit more free and empowered to start  ,feel a little bit more free and empowered to start  
building more meaning and sustainability ,building more meaning and sustainability 
into your life thank you for your time,into your life thank you for your time
thank you,BLANK
sleep it's something we spend ,sleep it's something we spend 
about a third of Our Lives doing  ,about a third of Our Lives doing  
but to any of us really understand what it's ,but to any of us really understand what it's 
all about two thousand years ago Galen one of  ,all about two thousand years ago Galen one of  
the most prominent medical researchers of the ,the most prominent medical researchers of the 
ancient world proposed that while we're awake  ,ancient world proposed that while we're awake  
our brain's mode of force its juice would flow out ,our brain's mode of force its juice would flow out 
to all the other parts of the body animating them  ,to all the other parts of the body animating them  
believing the brain all dried up and he thought ,believing the brain all dried up and he thought 
that when we sleep all this moisture that filled  ,that when we sleep all this moisture that filled  
the rest of the body would come rushing back ,the rest of the body would come rushing back 
rehydrating the brain and refreshing the mind  ,rehydrating the brain and refreshing the mind  
now that sounds completely ridiculous to us now ,now that sounds completely ridiculous to us now 
but Galen was simply trying to explain something  ,but Galen was simply trying to explain something  
about sleep that we all deal with every day see ,about sleep that we all deal with every day see 
we all know based on our own experience that when  ,we all know based on our own experience that when  
you sleep it clears your mind and when you don't ,you sleep it clears your mind and when you don't 
sleep it leaves your mind murky but while we know  ,sleep it leaves your mind murky but while we know  
a great deal more about sleep now than when Galen ,a great deal more about sleep now than when Galen 
was around we still haven't understood why it is  ,was around we still haven't understood why it is  
that sleep of all of our activities has this ,that sleep of all of our activities has this 
incredible restorative function for the mind  ,incredible restorative function for the mind  
so today I want to tell you about some recent ,so today I wanna tell you about some recent 
research that may shed new light on this question  ,research that may shed new light on this question  
we found that sleep may actually be ,we found that sleep may actually be 
a kind of elegant design solution to  ,a kind of elegant design solution to  
some of the brain's most basic needs a ,some of the brain's most basic needs a 
unique way that the brain meets the high  ,unique way that the brain meets the high  
demands and the narrow margins that set it ,demands and the narrow margins that set it 
apart from all the other organs of the body  ,apart from all the other organs of the body  
so almost all the biology that we observe can ,so almost all the biology that we observe can 
be thought of as a series of problems and their  ,be thought of as a series of problems and their  
corresponding Solutions and the first problem that ,corresponding Solutions and the first problem that 
every organ must solve is a continuous supply of  ,every organ must solve is a continuous supply of  
nutrients to fuel all those cells of the body ,nutrients to fuel all those cells of the body 
in the brain that is especially critical it's  ,in the brain that is especially critical it's  
intense electrical activity uses up a quarter ,intense electrical activity uses up a quarter 
of the body's entire energy Supply even though  ,of the body's entire energy Supply even though  
the brain accounts for only about two percent ,the brain accounts for only about two percent 
of the body's Mass so the circulatory system  ,of the body's Mass so the circulatory system  
solves the nutrient delivery Problem by sending ,solves the nutrient delivery Problem by sending 
blood vessels to supply nutrients and oxygen to  ,blood vessels to supply nutrients and oxygen to  
every corner of our body you can actually see it ,every corner of our body you can actually see it 
in this video here we're Imaging blood vessels  ,in this video here here we're Imaging blood vessels  
in the brain of a living Mouse the blood vessels ,in the brain of a living Mouse the blood vessels 
form a complex Network that fills the entire brain  ,form a complex Network that fills the entire brain  
volume they start at the surface of the brain ,volume they start at the surface of the brain 
and then they dive down into the tissue itself  ,and then they dive down into the tissue itself  
and as they spread out they Supply nutrients ,and as they spread out they Supply nutrients 
and oxygen to each and every cell in the brain  ,and oxygen to each and every cell in the brain  
now just as every cell requires nutrients to fuel ,now just as every cell requires nutrients to fuel 
it every cell also produces waste as a byproduct  ,it every cell also produces waste as a byproduct  
and the clearance of that waste is a second ,and the clearance of that waste is a second 
basic problem that each organ has to solve  ,basic problem that each organ has to solve  
this diagram shows the body's lymphatic system ,this diagram shows the body's lymphatic system 
which has evolved to meet this need it's a  ,which has evolved to meet this need it's a  
second parallel network of vessels that extends ,second parallel network of vessels that extends 
throughout the body it takes up proteins and other  ,throughout the body it takes up proteins and other  
ways from the spaces between the cells it collects ,waste from the spaces between the cells it collects 
them and then dumps them into the blood so they  ,them and then dumps them into the blood so they  
can be disposed of but if you look really closely ,can be disposed of but if you look really closely 
at this diagram you'll see something that doesn't  ,at this diagram you'll see something that doesn't  
make a lot of sense so if we were to zoom into ,make a lot of sense so if we were to zoom into 
this guy's head one of the things that you would  ,this guy's head one of the things that you would  
see there is that there are no lymphatic vessels ,see there is that there are no lymphatic vessels 
in the brain but that that doesn't make a lot of  ,in the brain but that that doesn't make a lot of  
sense does it I mean the brain is this intensely ,sense does it I mean the brain is this intensely 
active organ that produces a correspondingly large  ,active organ that produces a correspondingly large  
amount of waste that must be efficiently cleared ,amount of waste that must be efficiently cleared 
and yet it lacks lymphatic vessels which means  ,and yet it lacks lymphatic vessels which means  
that the approach that the rest of the body takes ,that the approach that the rest of the body takes 
to clearing away its waste won't work in the brain  ,to clearing away its waste won't work in the brain  
so how then does the brain solve ,so how then does the brain solve 
its waste clearance problem  ,its waste clearance problem  
well that that seemingly mundane question is where ,well that that seemingly mundane question is where 
our group first jumped into the story and what we  ,our group first jumped into the story and what we  
found as we Dove down into the brain down among ,found as we Dove down into the brain down among 
the neurons and the blood vessels was that the  ,the neurons and the blood vessels was that the  
brain's solution to the problem of waste clearance ,brain's solution to the problem of waste clearance 
it was really unexpected it was it was ingenious  ,it was really unexpected it was it was ingenious  
but it was also beautiful let ,but it was also beautiful let 
me tell you about what we found  ,me tell you about what we found  
so the brain has this large pool of clean clear ,so the brain has this large pool of clean clear 
fluid called cerebral spinal fluid we call it  ,fluid called cerebral spinal fluid we call it  
the CSF the CSF fills the space that surrounds the ,the CSF the CSF fills the space that surrounds the 
brain and wastes from inside the brain make their  ,brain and wastes from inside the brain make their  
way out to the CSF which gets dumped along with ,way out to the CSF which gets dumped along with 
the waste into the blood so in that way it sounds  ,the waste into the blood so in that way it sounds  
a lot like the lymphatic system doesn't it but ,a lot like the lymphatic system doesn't it but 
what's interesting is that the fluid in the waste  ,what's interesting is that the fluid and the waste  
from inside the brain they don't just percolate ,from inside the brain they don't just percolate 
their way randomly out to these pools of CSF  ,their way randomly out to these pools of CSF  
instead there is a specialized network of Plumbing ,instead there is a specialized network of Plumbing 
that organizes and facilitates this process  ,that organizes and facilitates this process  
you can see that in these videos here we're again ,you can see that in these videos here we're again 
Imaging into the brain of Living Mice the frame on  ,Imaging into the brain of Living Mice the frame on  
your left shows what's happening at the brain's ,your left shows what's happening at the brain's 
surface and the frame on your right shows what's  ,surface and the frame on your right shows what's  
happening down below the surface of the brain ,happening down below the surface of the brain 
within the tissue itself we labeled the blood  ,within the tissue itself we labeled the blood  
vessels in red and the CSF that's surrounding the ,vessels in red and the CSF that's surrounding the 
brain will be in green now what was surprising to  ,brain will be in green now what was surprising to  
us was that the fluid on the outside of the ,us was that the fluid on the outside of the 
brain it didn't stay on the outside instead  ,brain it didn't stay on the outside instead  
the CSF was pumped back into and through the ,the CSF was pumped back into and through the 
brain along the outsides of the blood vessels  ,brain along the outsides of the blood vessels  
and as it flushed down into the brain along ,and as it flushed down into the brain along 
the outsides of these vessels it was actually  ,the outsides of these vessels it was actually  
helping to clear away to clean the waste ,helping to clear away to clean the waste 
from the spaces between the brain cells  ,from the spaces between the brain cells  
if you think about it using the outsides of these ,if you think about it using the outsides of these 
blood vessels like this is a really clever design  ,blood vessels like this is a really clever design  
solution because the brain the brain is enclosed ,solution because the brain the brain is enclosed 
in a rigid skull and it's packed full of cells  ,in a rigid skull and it's packed full of cells  
so there is no extra space inside it for a whole ,so there is no extra space inside it for a whole 
second set of vessels like the lymphatic system  ,second set of vessels like the lymphatic system  
yet the blood vessels they extend from the ,yet the blood vessels they extend from the 
surface of the brain down to reach every single  ,surface of the brain down to reach every single  
cell in the brain which means that fluid that's ,cell in the brain which means that fluid that's 
traveling along the outsides of these vessels  ,traveling along the outsides of these vessels  
can gain easy access to the entire brain's ,can gain easy access to the entire brain's 
volume so it's actually this really clever  ,volume so it's actually this really clever  
way to repurpose one set of vessels the blood ,way to repurpose one set of vessels the blood 
vessels to take over and replace the function  ,vessels to take over and replace the function  
of a second set of vessels the lymphatic ,of a second set of vessels the lymphatic 
vessels to make it so you don't need them  ,vessels to make it so you don't need them  
and what's amazing is that no other organ ,and what's amazing is that no other organ 
takes quite this approach to clearing away  ,takes quite this approach to clearing away  
the waste from between it cells this is a ,the waste from between it cells this is a 
solution that is entirely unique to the brain  ,solution that is entirely unique to the brain  
but our most surprising finding was that all ,but our most surprising finding was that all 
of this everything I just told you about with  ,of this everything I just told you about with  
all this fluid rushing through the brain ,all this fluid rushing through the brain 
it's only happening in the sleeping brain  ,it's only happening in the sleeping brain  
here the video on the left shows how much of the ,here the video on the left shows how much of the 
CSF is moving through the brain of a living Mouse  ,CSF is moving through the brain of a living Mouse  
while it's awake it's almost nothing yet in the ,while it's awake it's almost nothing yet in the 
same animal if we wait just a little while until  ,same animal if we wait just a little while until  
it's gone to sleep what we see is that the CSF is ,it's gone to sleep what we see is that the CSF is 
rushing through the brain and we discovered that  ,rushing through the brain and we discovered that  
at the same time when the brain goes to sleep the ,at the same time when the brain goes to sleep the 
brain cells themselves seem to shrink opening up  ,brain cells themselves seem to shrink opening up  
spaces in between them allowing fluid to rush ,spaces in between them allowing fluid to rush 
through and allowing waste to be cleared out  ,through and allowing waste to be cleared out  
so it seems the Galen may actually have ,so it seems the Galen may actually have 
been sort of on the right track when he  ,been sort of on the right track when he  
wrote about fluid rushing through the brain ,wrote about fluid rushing through the brain 
when sleep came on our own research now it's  ,when sleep came on our own research now it's  
2000 years later suggests that what's happening ,2000 years later suggests that what's happening 
is that when the brain is awake and is at its  ,is that when the brain is awake and is at its  
most busy it puts off clearing away the waste ,most busy it puts off clearing away the waste 
from the spaces between its cells until later  ,from the spaces between its cells until later  
and then when it goes to sleep and has ,and then when it goes to sleep and has 
doesn't have to be as busy it shifts into  ,doesn't have to be as busy it shifts into  
a kind of cleaning mode to clear away the ,a kind of cleaning mode to clear away the 
waste from the spaces between its brain the  ,waste from the spaces between its brain the  
waste that's accumulated throughout the day ,waste that's accumulated throughout the day 
so it's actually a little bit like how you  ,so it's actually a little bit like how you  
or I we put off our household chores during the ,or I we put off our household chores during the 
work week when we don't have time to get to it  ,work week when we don't have time to get to it  
and then we play ketchup on all the cleaning ,and then we play catch up on all the cleaning 
that we have to do the weekend rolls around  ,that we have to do the weekend rolls around  
now I've just talked a lot about waste clearance ,now I've just talked a lot about waste clearance 
but I haven't been very specific about the kinds  ,but I haven't been very specific about the kinds  
of waste that the brain needs to be clearing ,of waste that the brain needs to be clearing 
during sleep in order to stay healthy the waste  ,during sleep in order to stay healthy the waste  
product of these recent studies Focus most on ,product of these recent studies Focus most on 
is amyloid beta which is a protein that's made  ,is amyloid beta which is a protein that's made  
in made in the brain all the time my brain's ,in made in the brain all the time my brain's 
making amyloid beta right now and so is yours  ,making amyloid beta right now and so is yours  
but in patients with Alzheimer's disease ,but in patients with Alzheimer's disease 
amyloid beta builds up and Aggregates in  ,amyloid beta builds up and Aggregates in  
the spaces between the brain cells instead of ,the spaces between the brain cells instead of 
being cleared away like it's supposed to be  ,being cleared away like it's supposed to be  
and it's this buildup of amyloid beta that's ,and it's this buildup of amyloid beta that's 
thought to be one of the key steps in the  ,thought to be one of the key steps in the  
development of that terrible disease ,development of that terrible disease 
so we measured how fast amyloid beta  ,so we measured how fast amyloid beta  
is cleared from the brain when it's awake ,is cleared from the brain when it's awake 
versus when it's asleep and we found that  ,versus when it's asleep and we found that  
indeed the clearance of amyloid beta is ,indeed the clearance of amyloid beta is 
much more rapid from the sleeping brain  ,much more rapid from the sleeping brain  
so if sleep then is part of the brain's solution ,so if sleep then is part of the brain's solution 
to the problem of waste clearance then this may  ,to the problem of waste clearance then this may  
dramatically change how we think about the ,dramatically change how we think about the 
relationship between sleep amyloid beta and  ,relationship between sleep amyloid beta and  
Alzheimer's disease a series of recent clinical ,Alzheimer's disease a series of recent clinical 
studies suggests that among patients who haven't  ,studies suggests that among patients who haven't  
yet developed Alzheimer's disease worsening Sleep ,yet developed Alzheimer's disease worsening Sleep 
Quality and sleep duration are associated with a  ,Quality and sleep duration are associated with a  
greater amount of amyloid beta building up in ,greater amount of amyloid beta building up in 
the brain and while it's important to point  ,the brain and while it's important to point  
out that these studies don't prove that lack of ,out that these studies don't prove that lack of 
sleep or poor sleep cause Alzheimer's disease  ,sleep or poor sleep cause Alzheimer's disease  
they do suggest that the failure of the ,they do suggest that the failure of the 
brain to keep its house clean by clearing  ,brain to keep its house clean by clearing  
away waste like amyloid beta May contribute to ,away waste like amyloid beta May contribute to 
the development of conditions like Alzheimer's  ,the development of conditions like Alzheimer's  
so what this new research tells us then is ,so what this new research tells us then is 
that the one thing that all of you already knew  ,that the one thing that all of you already knew  
about sleep that even Galen understood about ,about sleep that even Galen understood about 
sleep that it refreshes and clears the mind  ,sleep that it refreshes and clears the mind  
may actually be a big part of what sleep is ,may actually be a big part of what sleep is 
all about see you and I we go to sleep every  ,all about see you and I we go to sleep every  
single night but our brains they never rest ,single night but our brains they never rest 
while our body is still and our mind is off  ,while our body is still and our mind is off  
Walking In Dreams somewhere the elegant Machinery ,Walking In Dreams somewhere the elegant Machinery 
of the brain is quietly hard at work cleaning and  ,of the brain is quietly hard at work cleaning and  
maintaining this unimaginably complex machine like ,maintaining this unimaginably complex machine like 
our housework it's a dirty and a thankless job  ,our housework it's a dirty and a thankless job  
but it's also important in your house if ,but it's also important in your house if 
you stop cleaning your kitchen for a month  ,you stop cleaning your kitchen for a month  
your home will become completely unlivable ,your home will become completely unlivable 
very quickly but in the brain the consequences  ,very quickly but in the brain the consequences  
of falling behind may be much greater than the ,of falling behind may be much greater than the 
embarrassment of dirty countertops because when it  ,embarrassment of dirty countertops because when it  
comes to cleaning the brain it is the very health ,comes to cleaning the brain it is the very health 
and function of the mind and the body that's  ,and function of the mind and the body that's  
at stake which is why understanding these very ,at stake which is why understanding these very 
basic housekeeping functions of the brain today  ,basic housekeeping functions of the brain today  
may be critical for preventing and treating ,may be critical for preventing and treating 
diseases of the mind tomorrow thank you,diseases of the mind tomorrow thank you
thank you,BLANK
oh my God I'm so excited,oh my God I'm so excited
this is the first time I've seen people ,this is the first time I've seen people 
since March 2020 hi hi people I've had a  ,since March 2020 hi hi people I've had a  
lot of accomplishments but this ,lot of accomplishments but this 
is a dream come true right now,is a dream come true right now
Don't Make some noise for the dress,so Make some noise for the dress
and now the back of the dress can we get ,and now the back of the dress can we get 
booty cam please booty cam if you follow  ,booty cam please booty cam if you follow  
me on social media you've probably ,me on social media you've probably 
seen my hiney before it's no secret  ,seen my hiney before it's no secret  
but you know I used to hate my ass believe it or ,but you know I used to hate my ass believe it or 
not I have my father's shape and my mother's side  ,not I have my father's shape and my mother's size  
so it's big and long I used to think that only ,so it's big and long I used to think that only 
asses like J Lo's or Beyonce's could be famous  ,asses like J Lo's or Beyonce's could be famous  
I never thought that could happen to me I always ,I never thought that could happen to me I always 
felt like my body type wasn't the right one or  ,felt like my body type wasn't the right one or  
the desirable one growing up because I grew up in ,the desirable one growing up because I grew up in 
an era where having a big ass wasn't mainstream I  ,an era where having a big ass wasn't mainstream I  
grew up watching movies where women were like does ,grew up watching movies where women were like does 
my ass look fat in this like it was a bad thing  ,my ass look fat in this like it was a bad thing  
I felt like the ass odds were against me but ,I felt like the ass odds were against me but 
baby this Badonkadonk donk was going places,baby this Badonkadonk donk was going places
my ass has been the topic of conversation my ,my ass has been the topic of conversation my 
ass has been in magazines Rihanna gave my ass  ,ass has been in magazines Rihanna gave my ass  
a standing ovation yes my booty my least favorite ,a standing ovation yes my booty my least favorite 
part of my body how did this happen it's working,part of my body how did this happen twerking
through the movement of twerking I discovered  ,through the movement of twerking I discovered  
my ass is my greatest asset ladies ,my ass is my greatest asset ladies 
and gentlemen welcome to Ted twerk,and gentlemen welcome to Ted twerk
I'm gonna take my shoes ,I'm gonna take my shoes 
off is that okay with y'all  ,off is that okay with y'all  
so the first time I saw twerking in person was ,so the first time I saw twerking in person was 
at a teen club called the Z in Houston Texas  ,at a teen club called the Z in Houston Texas  
hey shout out Houston we got some houstonians ,hey shout out Houston we got some Houstonians 
here there I saw a bunch of girls my age shaking  ,here there I saw a bunch of girls my age shaking  
their booty to New Orleans bouncing I was like ,their booty to New Orleans bounce I was like 
how are they doing that it was incredible to  ,how are they doing that it was incredible to  
me thanks to my Caribbean besties peaches and ,me thanks to my Caribbean besties Peaches and 
Jolene and thanks to Master P I found the Rhythm  ,Jolene and thanks to Master P I found the Rhythm  
the better I got the more I fell in love with ,the better I got the more I fell in love with 
what I had because damn my ass could do magic  ,what I had because damn my ass could do magic  
finally I could twerk but twerking did not begin ,finally I could twerk but twerking did not begin 
with me believe it or not I know you think I  ,with me believe it or not I know you think I  
invented twerker and I didn't I want you to know ,invented twerking I didn't I want you to know 
where twerking came from I think everyone should  ,where twerking came from I think everyone should  
know where everything comes from you should know ,know where everything comes from you should know 
where your food and water come from you should  ,where your food and water come from you should  
know where your clothes come from it's important ,know where your clothes come from it's important 
to me to keep the origin story of twerking alive  ,to me to keep the origin story of twerking alive  
so here's some farm to table for that ass,so here's some farm to table for that ass
modern day twerking derived from black people ,modern day twerking derived from black people 
in Black Culture it has a direct parallel to  ,and Black Culture it has a direct parallel to  
West African dances like mapouka traditionally ,West African dances like Mapouka traditionally 
mapuka was a dance for West African women to be  ,Mapouka was a dance for West African women to be  
used as a celebration of Joy religious ,used as a celebration of Joy religious 
worship or a dance to do at a wedding  ,worship or a dance to do at a wedding  
to show you were DTF or DTM down to Mary ,to show you were DTF or DTM down to marry 
down America get your mind out the gutter  ,down to marry get your mind out the gutter  
black women carried these dances across the ,black women carried these dances across the 
transatlantic slave trade to the ring shout in  ,transatlantic slave trade to the ring shout in  
what became the Black American church and so the ,what became the Black American church and so the 
hips of Mal Rainey and Bessie Smith when they sang  ,hips of Ma Rainey and Bessie Smith when they sang  
the blues into the bounce of Josephine Baker's ,the blues into the bounce of Josephine Baker's 
Banana Dance from jazz dance to Jitterbug from  ,Banana Dance from jazz dance to Jitterbug from  
Shake Your Tail Feather to shake your thing ,Shake Ya Tailfeather to shake your thang
to that thing thinking black people carried  ,to that thang thangin black people carried  
the origins of this dance through our DNA through ,the origins of this dance through our DNA through 
our blood through our bones we made twerking the  ,our blood through our bones we made twerking the  
global cultural phenomenon it has become today ,global cultural phenomenon it has become today 
now as a big black woman who has asked Who can  ,now as a big black woman who has asked Who can  
Twerk and who's been doing it her whole life ,Twerk and who's been doing it her whole life 
I kind of think I'm an expert on the subject  ,I kind of think I'm an expert on the subject  
I want to add to the classical etymology ,I want to add to the classical etymology 
of this dance because it matters  ,of this dance because it matters  
black people will not be erased from the creation ,black people will not be erased from the creation 
the history and the innovation of twerking,the history and the innovation of twerking
from Tick Tock Trends to songs and humor we see ,from TikTok Trends to songs and humor we see 
so much Erasure of what black people have created  ,so much Erasure of what black people have created  
so I want to do everything in my power to prevent ,so I wanna do everything in my power to prevent 
the Erasure of Blackness from twerking twerking is  ,the Erasure of Blackness from twerking twerking is  
a black American communal collaboration born of ,a black American communal collaboration born of 
black Southern Culture from DJ Jubilee and cash  ,black Southern Culture from DJ Jubilee and Cash
many records in New Orleans to Little John and the ,Money Records in New Orleans to Lil Jon and the 
Yin Yang Twins in Atlanta to Uncle Luke in Miami  ,Yin Yang Twins in Atlanta to Uncle Luke in Miami  
twerking was alive and well in nearly every black ,twerking was alive and well in nearly every black 
Club in the south but it would take years after  ,Club in the south but it would take years after  
these songs were released for twerking to finally ,these songs were released for twerking to finally 
become mainstream I got a test for y'all oh no no,become mainstream I got a test for y'all uh-oh uh-oh uh-oh oh no no
you know that one hold up y'all ain't see it,uh-oh uh-oh uh-oh oh no no you know that one hold up y'all ain't see it
oh no,uh-oh uh-oh uh-oh oh no no
BLANK,uh-oh uh-oh uh-oh oh no no
the uh oh dance Beyonce called it ,the uh oh dance Beyonce called it 
that because she was trying to warn us  ,that because she was trying to warn us  
because of Destiny's Child Bootylicious is in the ,because of Destiny's Child Bootylicious is in the 
dictionary and because of Beyonce's 2003 music  ,dictionary and because of Beyonce's 2003 music  
video for her single crazy in love the world was ,video for her single crazy in love the world was 
introduced to the uh oh dance that was the first  ,introduced to the uh oh dance that was the first  
time I'd ever seen a pop star do something ,time I'd ever seen a pop star do something 
like that and I wanted to be just like her  ,like that and I wanted to be just like her  
Beyonce gave me permission to be myself to be ,Beyonce gave me permission to be myself to be 
bootylicious because she could shake ass and  ,bootylicious because she could shake ass and  
still be seen as classy in the eyes of America and ,still be seen as classy in the eyes of America and 
that was hard to do when I moved from Houston to  ,that was hard to do when I moved from Houston to  
Minneapolis in the early 2010s I hadn't seen it's ,Minneapolis in the early 2010s I hadn't seen
working in a while until big freedia's tour came  ,twerking in a while until Big Freedia's tour came  
to town now Big Frida performs bounce music ,to town now Big Freeda performs bounce music 
with the voice of a preacher in the body of  ,with the voice of a preacher in the body of  
a bad [ __ ] if you can imagine it's incredible ,a bad bitch if you can imagine it's incredible 
Big Freedia has a moment in her shows where she  ,Big Freedia has a moment in her shows where she  
will call people on stage to twerk and she chose ,will call people on stage to twerk and she chose 
me from the audience to battle another person and  ,me from the audience to battle another person and  
I remember being like Oh my God I miss this so ,I remember being like Oh my God I miss this so 
much when I was up there I thought to myself not  ,much when I was up there I thought to myself not  
only am I shaking ass but I'm winning and besides ,only am I shaking ass but I'm winning and besides 
Big Freedia I'm the best worker in the building  ,Big Freedia I'm the best twerker in the building  
and just like that I was reintroduced to twerking ,and just like that I was reintroduced to twerking 
when I started to perform my solo music I began  ,when I started to perform my solo music I began  
incorporating twerking into my performances ,incorporating twerking into my performances 
and people would go crazy I performed for  ,and people would go crazy I performed for  
mainly in the audiences so they know what the ,mainly indie audiences so they know what the 
[ __ ] was happening and I liked it that way  ,fuck was happening and I liked it that way  
it's working made me feel empowered ,twerking made me feel empowered 
it was my secret language my sauce  ,it was my secret language my sauce  
little did I know that a couple years later ,little did I know that a couple years later 
Miley Cyrus would perform what seemed like  ,Miley Cyrus would perform what seemed like  
the twerk her around the world y'all remember ,the twerk heard round the world y'all remember 
that in 2013 within a month of each other I  ,that in 2013 within a month of each other I  
released my debut project lizzo bangers and ,released my debut project Lizzobangers and 
Miley Cyrus released her project bangers  ,Miley Cyrus released her project Bangerz
that same year Miley released a single We ,that same year Miley released a single We 
Can't Stop and she was twerking in the video  ,Can't Stop and she was twerking in the video  
I remember being like this is crazy Hannah ,I remember being like this is crazy Hannah 
Montana's working all over the place oh a  ,Montana twerking all over the place a  
couple months later she performed with Robin Thick ,couple months later she performed with Robin Thicke
on the VMAs and that night seemingly overnights  ,on the VMAs and that night seemingly overnight
working went mainstream the media describes ,twerking went mainstream the media describes 
working as I quote disturbing and disgusting  ,twerking as I quote disturbing and disgusting  
critics blasted twerking as something that was ,critics blasted twerking as something that was 
exploiting and over-sexualizing young women  ,exploiting and over-sexualizing young women  
once mainstream it's working was ,once mainstream twerking was 
misunderstood and taken out of context  ,misunderstood and taken out of context  
it was bittersweet for one I wish that a ,it was bittersweet for one I wish that a 
black woman could have popularized working  ,black woman could have popularized twerking
in the mainstream but on the other end ,in the mainstream but on the other end 
it's working going mainstream played a  ,twerking going mainstream played a  
role in the rise of my profile and my career ,role in the rise of my profile and my career 
listen everything that black people create  ,listen everything that black people create  
from Fashion to music to the way we talk is ,from Fashion to music to the way we talk is 
co-opted appropriated and taken by pop culture,co-opted appropriated and taken by pop culture
for this reason optimism can be an allusion to the ,for this reason optimism can be an illusion to the 
experience of black people in America in this Ted  ,experience of black people in America in this Ted  
