AUTOMATIC,MANUAL
rectangles keeps exactly the same proportion  ,rectangles keeps exactly the same proportion  
we can find it as well everywhere like in ,we can find it as well everywhere like in 
smallest things like our DNA when the length  ,smallest things like our DNA when the length  
of one sequence is 1.618 longer than its string we ,of one sequence is 1.618 longer than its string we 
can find us even in new things like the pyramids  ,can find this even in new things like the pyramids  
the golden ratio is embedded in most forms ,the golden ratio is embedded in most forms 
people likes to see like the human body,people likes to see like the human body
and face with a gun made it or man ,and face whether God made it or man 
made it it is there it is what it is  ,made it it is there it is what it is  
without even noticing people will engage with our ,without even noticing people will engage with our 
image the closer our image is to the golden ratio  ,image the closer our image is to the golden ratio  
since not all of us were born with the ,since not all of us were born with the 
perfect body proportion you may ask  ,perfect body proportion you may ask  
how can we bring ourselves closer to these ,how can we bring ourselves closer to these 
golden proportions so here is this thought,golden proportions so here is this thought
if Beauty has mathematical formula then it's ,if Beauty has mathematical formula then it's 
supposed to be easy to achieve to make it  ,supposed to be easy to achieve to make it  
more accessible I decided decided to create a ,more accessible I decided decided to create a 
software that will be based on the golden ratio  ,software that will be based on the golden ratio  
and the way people perceive colors and shape and ,and the way people perceive colors and shape and 
this is very funny how people perceive shapes  ,this is very funny how people perceive shapes  
by the way it's like a game okay it's like a ,by the way it's like a game okay it's like a 
game of reality versus perception reality is  ,game of reality versus preception reality is  
the true existence of form in our universe while ,the true existence of form in our universe while 
perception is how our brain translate these forms  ,preception is how our brain translate these forms  
illusion means tricking the mind to get a new ,illusion means tricking the mind to get a new 
perception example look at these two dots in  ,preception example look at these two dots in  
reality they look the same they have the same size ,reality they look the same they have the same size 
but adding different forms or colors around them  ,but adding different forms or colors around them  
make us feel that they are different so so if ,make us feel that they are different so if 
I will add around me different clothes colors  ,I will add around me different clothes colors  
and accessorize you will think I'm different ,and accessorize you will think I'm different 
I call the game of dressing up an illusion  ,I call the game of dressing up an illusion  
and right here lies the solution we can use ,and right here lies the solution we can use 
illusion in order to change our proportions to a  ,illusion in order to change our proportions to a  
better one to those who close to the golden ratio ,better one to those who close to the golden ratio 
what's the benefits besides you looking your best,what's the benefits besides you looking your best
people will feel more comfortable ,people will feel more comfortable 
with you and your appearance  ,with you and your appearance  
when you go when you're closer to the golden ratio,when you go when you're closer to the golden ratio
I want to share something with you it's going ,I wanna share something with you it's gonna   
to be probably quite funny look at me and you  ,be probably quite funny look at me and you
can laugh as much as you want I want to show you ,can laugh as much as you want I wanna show you 
how God really created me I just started late  ,how God really created me I just started late  
okay is it terrible enough wait wait and ,okay is it terrible enough wait wait and 
now imagine me coming to you right now and  ,now imagine me coming to you right now and  
telling you hello my name is Orly shy I'm ,telling you hello my name is Orly Shay I'm 
the best stylist in the world do you want  ,the best stylist in the world do you wanna  
to do shopping or work with me anyway no one ,do shopping or work with me anyway no one 
will believe me I tried it by the way what  ,will believe me I tried it by the way what  
happened right now that the shape or the place ,happened right now that the shape or the place 
that my eyes are located is higher on my face  ,that my eyes are located is higher on my face  
so basically what I need to do is add more volume ,so basically what I need to do is add more volume 
to the top of my head okay with my hair and voila,to the top of my head okay with my hair and voila
thank you wait another example look at the shape ,thank you wait another example look at the shape 
of my chin let's make a quick jump to improve the  ,of my chin let's make a quick jump to improve the  
shape of my chin basically the shape of my chin is ,shape of my chin basically the shape of my chin is 
very narrow in comparison to what it was supposed  ,very narrow in comparison to what it was supposed  
to be so my mommy here so Mommy I'm sorry so what ,to be so my mommy here so Mommy I'm sorry so what 
I'm doing is I'm adding more horizontal lines  ,I'm doing is I'm adding more horizontal lines  
with my hair cut here this is first thing ,with my haircut here this is first thing 
I'm doing and the next thing I'm going to do  ,I'm doing and the next thing I'm going to do  
is to create another horizontal line ,is to create another horizontal line 
here at my neckline now look at my face  ,here at my neckline now look at my face  
while I'm having a horizontal line here and there ,while I'm having an horizontal line here and there 
they look a little bit wider than if I will add  ,they look a little bit wider than if I will add  
vertical lines can you see that again horizontal ,vertical lines can you see that again horizontal 
much better early vertical line do you see  ,much better Orly vertical line do you see  
I don't like her I don't think okay so let me ,I don't like her I don't think okay so let me 
shake myself because I want you to hear me up,shake myself because I want you to hear me up
one more thing I want to address length look at ,one more thing I want to address length look at 
the legs of my legs and my arms too long believe  ,the length of my legs and my arms too long believe  
me basically my arms like monkey I can almost ,me basically my arms like monkey I can almost 
touch my knee who can touch his knee come on  ,touch my knee who can touch his knee come on  
so if you can it's one sign that you should ,so if you can it's one sign that you should 
call me I will tell you what to do but the  ,call me I will tell you what to do but the  
second thing is I have like huge and endless legs ,second thing is I have like huge and endless legs 
they start from here truly it's very easy to see  ,they start from here truly it's very easy to see  
but what I do I do not I did nothing to improve ,but what I do I do not I did nothing to improve 
the shapes of my arms because I believe that you  ,the shapes of my arms because I believe that you  
cannot improve everything all the time but if you ,cannot improve everything all the time but if you will
look at my legs the way that I cut them with the  ,look at my legs the way that I cut them with the  
length of my dress makes it harder for you to ,length of my dress makes it harder for you to 
understand that this is not the real me it goes  ,understand that this is not the real me it goes  
on and on I can improve your waist shape very ,on and on I can improve your waist shape very 
easily in small changes that will look natural,easily in small changes that will look natural
but for me standing here it's quite easy talking ,but for me standing here it's quite easy talking 
about myself and my appearance most people it will  ,about myself and my appearance most people it will  
be very hard for them to stand here or in front ,be very hard for them to stand here or in front 
of any other person and explain to him how God  ,of any other person and explain to him how God  
really created you most of my clients are even ,really created you most of my clients are even 
embarrassed to talk with me about it even though  ,embarrassed to talk with me about it even though  
they want my advice so he has a thought if it's ,they want my advice so here is a thought if it's 
only met no emotion an algorithm can do it too  ,only math no emotion an algorithm can do it too  
so why do they need my presence I decided to ,so why do they need my presence I decided to 
create a software so my services will be the  ,create a software so my services will be there 
24 7 on your mobile and I want to show you what ,24 7 on your mobile and I wanna show you what 
it can do and before that I want to tell you that  ,it can do and before that I wanna tell you that  
it's going to be a style wizard that will help ,it's gonna be a style wizard that will help 
us choose Clauses and accessories according to  ,us choose clothes and accessories according to  
our preferences and to our proportions and the ,our preferences and to our proportions and the 
coolest thing is it's going to be automatically  ,coolest thing is it's gonna be automatically  
and very easy to use it means dressing up in a ,and very easy to use it means dressing up in a 
code with mathematical rules instead of emotionals  ,code with mathematical rules instead of emotionals  
let's take this perfect lady and say that this is ,let's take this perfect lady and say that this is 
not us and we want to choose glasses for ourselves  ,not us and we wanna choose glasses for ourselves  
so let's help sir a little bit help her a little ,so let's help sir a little bit help her a little 
bit look at her eyes I'm gonna push them a little  ,bit look at her eyes I'm gonna push them a little  
bit up I can do that in Photoshop and then ,bit up I can do that in Photoshop and then 
I'm gonna let them to be a little bit closer  ,I'm gonna let them to be a little bit closer  
I think it's enough for today and what the ,I think it's enough for today and what the 
software is going to do is find glasses that  ,software is going to do is find glasses that  
will correct even a little bit her eyes to the ,will correct even a little bit her eyes to the 
right position I can also help you no Choose  ,right position I can also help you no Choose  
Wisely and do not choose glasses like this one ,Wisely and do not choose glasses like this one 
let's see them both same lady different glasses  ,let's see them both same lady different glasses  
different feeling towards her so what we are going ,different feeling towards her so what we are going 
to see right now that I'm going to choose a male  ,to see right now that I'm gonna choose a male  
and then I'm gonna choose I'm not gonna ,and then I'm gonna choose I'm not gonna 
choose body style not today or any other  ,choose body style not today or any other  
style I'm going to choose head style and ,style I'm gonna choose head style and 
I can upload his photo his facial photo  ,I can upload his photo his facial photo  
I'm gonna choose it for my phone gallery I have ,I'm gonna choose it from my phone gallery I have 
a very nice guy there we're gonna push it it's  ,a very nice guy there we're gonna push it it's  
gonna go in here is the guy and we're gonna ,gonna go in here is the guy and we're gonna 
start now we have another option if you want  ,start now we have another option if you wanna
to to have haircuts I'm gonna choose glasses , to have haircuts I'm gonna choose glasses 
for him as well eyeglasses for him as well  ,for him as well eyeglasses for him as well  
and while the software is rendering he knows his ,and while the software is rendering he knows his 
facial feature and looking surfing for the web for  ,facial feature and looking surfing for the web for  
the right glasses for him and giving him results ,the right glasses for him and giving him results 
but only three results if he asks classic basic  ,but only three results if he asks classic basic  
only three not two thousand like we have and we ,only three not two thousand like we have and we 
could see it if it's if he likes it or not as well  ,could see it if it's if he likes it or not as well  
but the coolest thing that I really really ,but the coolest thing that I really really 
love about this software is this little eye  ,love about this software is this little eye  
this information button that right now I can go ,this information button that right now I can go 
in and and see why did The Wizard choose these  ,in and and see why did The Wizard choose these  
glasses for me what the shape does for my eyes how ,glasses for me what the shape does for my eyes how 
does these colors help for me to look healthier  ,does these colors help for me to look healthier  
and of course if this style good ,and of course if this style good 
for me and for my preferences at  ,for me and for my preferences at  
the end of the day I'm gonna share it ,the end of the day I'm gonna share it 
with friends or buy it anywhere online  ,with friends or buy it anywhere online  
and basically that's a part of ,and basically that's a part of 
what the software is going to do,what the software is going to do
as we saw we act emotionally to our appearance  ,as we saw we act emotionally to our appearance  
but at the end of the day it just forms ,but at the end of the day it just forms 
and patterns that our brain likes to see  ,and patterns that our brain likes to see  
if we listen to our brain's preferences it ,if we listen to our brain's preferences it 
will be easy for us to dress for success  ,will be easy for us to dress for success  
this is amazing there are more than seven billion ,this is amazing there are more than seven billion 
people on Earth yet no one has the same body  ,people on Earth yet no one has the same body  
combinations even twins by the way so there are ,combinations even twins by the way so there are 
more than 7 billion different body combinations  ,more than 7 billion different body combinations  
only one is yours bring it out ,only one is yours bring it out 
Make It Count thank you [Applause],Make It Count thank you [Applause]
[Applause] the year 1665. due to an outbreak of ,[Applause] the year 1665. due to an outbreak of 
bubonic plague Cambridge University shuts down  ,bubonic plague Cambridge University shuts down  
and students are sent home now young ,and students are sent home now young 
Isaac Newton gathers his belongings  ,Isaac Newton gathers his belongings  
pax's books and travels North to the Family Estate ,packs his books and travels North to the Family Estate 
in Lincolnshire now Imagine The Following you  ,in Lincolnshire now Imagine The Following you  
and he one afternoon are in his backyard you're ,and he one afternoon are in his backyard you're 
shooting the bruise Roofing around joking around  ,shooting the bruise goofing around joking around  
and in a moment of hysterical laughter Izzy as ,and in a moment of hysterical laughter Izzy as 
you fondly called him bumps into an apple tree,you fondly called him bumps into an apple tree
a piece of fruit Falls and Bonks Izzy smack ,a piece of fruit Falls and Bonks Izzy smack 
in the head there right then and there  ,in the head there right then and there  
an epiphany and you just witnessed the discovery ,an epiphany and you just witnessed the discovery 
of gravity now how cool is that to actually be  ,of gravity now how cool is that to actually be  
at a game changing historical moment ,at a game changing historical moment 
game-changing historical moments  ,game-changing historical moments  
you know over the course of this last year we have ,you know over the course of this last year we have 
all experienced a game-changing historical moment  ,all experienced a game-changing historical moment  
a Corona driven vaccine Revolution ,a Corona driven vaccine Revolution 
let's go back to December 2019.  ,let's go back to December 2019.  
lurking among the Stalls of ,lurking among the Stalls of 
a seafood market in Wuhan  ,a seafood market in Wuhan  
a mysterious dark ominous virus emerges and in the ,a mysterious dark ominous virus emerges and in the 
fullness of time it will in fact over 200 million  ,fullness of time it will infect over 200 million  
people worldwide killing men women and children a ,people worldwide killing men women and children a 
virus that has caused total Global Havoc a virus  ,virus that has caused total Global Havoc a virus  
that has traumatized us all so have you ,that has traumatized us all so have you 
ever thought about what viruses are exactly  ,ever thought about what viruses are exactly  
viruses are basically just USB flash drives ,viruses are basically just USB flash drives 
protein-coded RNA or DNA memory chips that's it  ,protein-coded RNA or DNA memory chips that's it  
now viruses are not living organisms just as flash ,now viruses are not living organisms just as flash 
drives are not computers it's only when the USB  ,drives are not computers it's only when the USB  
inserts into its corresponding port ,inserts into its corresponding port 
that information can be transferred  ,that information can be transferred  
from the flash drive to then instruct ,from the flash drive to then instruct 
the computer on how and what to perform  ,the computer on how and what to perform  
viruses are basically the same they too have ,viruses are basically the same they too have 
proteins they're USBS and they insert into the  ,proteins they're USBs and they insert into the  
receptor and only then that RNA can transfer into ,receptor and only then that RNA can transfer into 
the cell which orchestrates the production of new  ,the cell which orchestrates the production of new  
viruses that emerge these viruses go on to infect ,viruses that emerge these viruses go on to infect 
new cells producing more and more viruses causing  ,new cells producing more and more viruses causing  
more and more damage and ultimately leading to ,more and more damage and ultimately leading to 
what could be a life-threatening disease until  ,what could be a life-threatening disease until  
until our immune system kicks in specialized white ,until our immune system kicks in specialized white 
blood cells B cells encounter and are intercepting  ,blood cells B cells encounter and are intercepting  
the viruses they study them and in response ,the viruses they study them and in response 
they produce antibodies antibodies that bind  ,they produce antibodies antibodies that bind  
protein and in doing so it blocks the axis to ,the spike protein and in doing so it blocks the access to 
the receptor and therefore infection is prevented  ,the receptor and therefore infection is prevented  
now with each round of interaction a virus with ,now with each round of interaction of virus with 
its B cell the B cells upgrade they improve they  ,its B cell the B cells upgrade they improve they  
better understand they produce better antibodies ,better understand they produce better antibodies 
and some of these upgraded special force B cells  ,and some of these upgraded special force B cells  
are stored as memory B cells such ,are stored as memory B cells such 
that in the event maybe a month  ,that in the event maybe a month  
maybe a year later after we've actually ,maybe a year later after we've actually 
recovered from a life-threatening disease  ,recovered from a life-threatening disease  
should we encounter the virus again memory ,should we encounter the virus again memory 
is called in antibodies are produced  ,is called in antibodies are produced  
the viruses The Intruders are knocked ,the viruses The Intruders are knocked 
out all without having to experience  ,out all without having to experience  
any disease at all we are said to be immune ,any disease at all we are said to be immune 
now wouldn't it be awesome if we could safely  ,now wouldn't it be awesome if we could safely  
pre-train the immune system storm memory preempt ,pre-train the immune system store memory preempt 
disease all without having to experience illness  ,disease all without having to experience illness  
well this is exactly what vaccines are all about ,well this is exactly what vaccines are all about 
vaccines are basically boot camp training of our  ,vaccines are basically boot camp training of our  
immune system vaccines contain protein of the ,immune system vaccines contain protein of the 
virus if you will the hardware of the virus and  ,virus if you will the hardware of the virus and  
when we vaccinate the B cells have the opportunity ,when we vaccinate the B cells have the opportunity 
to methodically interrogate and understand  ,to methodically interrogate and understand  
the vaccine Hardware and then subsequently ,the vaccine Hardware and then subsequently 
store memory in fact when you think about it  ,store memory in fact when you think about it  
all the vaccines that you know that we give our ,all the vaccines that you know that we give our 
kids are all what I would call Hardware vaccines  ,kids are all what I would call Hardware vaccines  
vaccines that all contain inactivated safe viral ,vaccines that all contain inactivated safe viral 
protein to some degree in some form or another  ,protein to some degree in some form or another  
maybe killed virus or attenuated virus or simply ,maybe killed virus or attenuated virus or simply 
purified Spike protein now for each disease years  ,purified Spike protein now for each disease years  
of research and development have been invested ,of research and development have been invested 
in order to generate its corresponding vaccine  ,in order to generate its corresponding vaccine  
so in times of urgency emergence of a pandemic you ,so in times of urgency emergence of a pandemic you 
can ask yourself couldn't it be done differently  ,can ask yourself couldn't it be done differently  
could it be another way safer quicker possibly ,could it be another way safer quicker possibly 
cheaper however without compromise 30 years ago  ,cheaper however without compromise 30 years ago  
Katie carrico a young Hungarian biochemist was ,Katie Kariko a young Hungarian biochemist was 
doing research at the University of Pennsylvania  ,doing research at the University of Pennsylvania  
she had an idea she said you know ,she had an idea she said you know 
Hardware vaccines use protein  ,Hardware vaccines use protein  
wouldn't it be cool if we could use software the ,wouldn't it be cool if we could use software the 
recipe to produce the viral protein in our body  ,recipe to produce the viral protein in our body  
could we use RNA an RNA vaccine now ,could we use RNA an RNA vaccine now 
this was a totally out of the box idea  ,this was a totally out of the box idea  
in fact so Innovative and so challenging Katie ,in fact so Innovative and so challenging Katie 
was the subject of much ridicule and in fact  ,was the subject of much ridicule and in fact  
she had a real hard time raising funds to support ,she had a real hard time raising funds to support 
her research and she couldn't get her promotions  ,her research and she couldn't get her promotions  
however here perseverance prevailed she ,however here perseverance prevailed she 
along with her colleague Drew Weissman  ,along with her colleague Drew Weissman  
ultimately got the RNA idea to actually work ,ultimately got the RNA idea to actually work 
and remarkably the RNA vaccine was found to  ,and remarkably the RNA vaccine was found to  
be exceptionally effective and certainly ,be exceptionally effective and certainly 
a game changer in our fight against Corona  ,a game changer in our fight against Corona  
but you may ask something's curious ,but you may ask something's curious 
Hardware we inject viral protein  ,Hardware we inject viral protein  
with software we inject RNA that codes ,with software we inject RNA that codes 
for viral protein what's the difference  ,for viral protein what's the difference  
well when I was a kid in Haifa there was ,well when I was a kid in Haifa there was 
a bakery just outside of our school now  ,a bakery just outside of our school now  
I'm a bit embarrassed periodically ,I'm a bit embarrassed periodically 
sometimes I'd cut class,sometimes I'd cut class
I would sneak out of school and go to the bakery ,I would sneak out of school and go to the bakery 
it always fascinated me the baker in his white  ,it always fascinated me the baker in his white  
apron and His White Cap all flower dusted and ,apron and His White Cap all flour dusted and 
taking out of the hot glowing oven these trays  ,taking out of the hot glowing oven these trays  
of hot piping freshly baked rolls now I would ,of hot piping freshly baked rolls now I would 
stand there looking nakedly and waiting until  ,stand there looking nakedly and waiting until  
we had eye contact and when our eyes met I would ,we had eye contact and when our eyes met I would 
say can I buy two now I would take one roll and  ,say can I buy two now I would take one roll and  
I'll put it into my backpack and the other will ,I'll put it into my backpack and the other well
obviously you know I mean who can resist the  ,obviously you know I mean who can resist the  
intoxicating fragrance of hot fresh baked bread ,intoxicating fragrance of hot fresh baked bread 
now on my way home I would think oh the other role  ,now on my way home I would think oh the other role  
and I would eat it happily and sometimes it ,and I would eat it happily and sometimes it 
struck me rather curious how is this possible  ,struck me rather curious how is this possible  
two roles exactly the same but uh not ,two roles exactly the same but uh-uh not 
the same at all so when we inject RNA  ,the same at all so when we inject RNA  
into a cell it produces freshly baked hot ,into a cell it produces freshly baked hot 
fragrant protein more authentic more closely  ,fragrant protein more authentic more closely  
resembling the presentation of the viral proteins ,resembling the presentation of the viral proteins 
that are generated in genuine viral infection now  ,that are generated in genuine viral infection now  
just a few months ago nine hundred thousand ,just a few months ago nine hundred thousand 
people were infected with coronavirus daily  ,people were infected with coronavirus daily  
fifteen thousand people died of covid-19 ,fifteen thousand people died of covid-19 
daily now of course we all know we're not  ,daily now of course we all know we're not  
out of the woods yet Delta is indeed challenging ,out of the woods yet Delta is indeed challenging 
however as more and more people take the vaccine  ,however as more and more people take the vaccine  
as more and more countries vaccinate coronavirus ,as more and more countries vaccinate coronavirus 
is being corralled in with nowhere to go,is being corralled in with nowhere to go
Newton's epiphany Katie's Epiphany and ,Newton's epiphany Katie's Epiphany and 
her diligence have led to a game-changing  ,her diligence have led to a game-changing  
historical event a vaccine Revolution think about ,historical event a vaccine Revolution think about 
it recognize it embrace it thank you [Applause],it recognize it embrace it thank you [Applause]
really,really
foreign,BLANK
begins around maybe more than 2000 years ago ,so our story begins around maybe more than 2000 years ago 
a group of Roman soldiers are standing next to  ,a group of Roman soldiers are standing next to  
the fire in the Roman legion Camp next to the ,the fire in the Roman legion Camp next to the 
mountain of lasada they are tired they are cold  ,mountain of Masada they are tired they are cold  
and they are hungry they've been fighting ,and they are hungry they've been fighting 
for many days and one of them decides it's  ,for many days and one of them decides he's
gonna improve the situation he decides ,gonna improve the situation he decides 
to cook something for them so he mixes  ,to cook something for them so he mixes  
up some grains and some water puts it on the ,up some grains and some water puts it on the 
on the Fire it starts bubbling and then the  ,on the Fire it starts bubbling and then the  
this mixture becomes a sticky stew a sticky ,this mixture becomes a sticky stew a sticky 
stew gets inside their stomachs and suddenly  ,stew gets inside their stomachs and suddenly  
the cold goes away they re-energize they ,the cold goes away they re-energize they 
regroup and they are ready to go fight again  ,regroup and they are ready to go fight again  
back then the Roman Legends and that's something ,back then the Roman Legends and that's something 
I've learned not not a while ago back then the  ,I've learned not not a while ago back then the  
Roman legion used to call that sticky stew ,Roman legion used to call that sticky stew 
polenta that was the name in ancient Italian,polenta that was the name in ancient Italian
so for the last few years my colleagues and I ,so for the last few years my colleagues and I 
we've been opening restaurants that's what we  ,we've been opening restaurants that's what we  
do we will build we've opened six restaurants ,do we will build we've opened six restaurants 
till now and five of them are here in the city  ,till now and five of them are here in the city  
of Jerusalem and the recent one we've opened ,of Jerusalem and the recent one we've opened 
in the center of London in the UK in each  ,in the center of London in the UK in each  
that's the one in the middle up there um ,that's the one in the middle up there um 
in each and every restaurant I open and I  ,in each and every restaurant I open and I  
own I choose the color of the walls I could I ,own I choose the color of the walls I 
choose the fabric for the bar stools I chose  ,choose the fabric for the bar stools I chose  
the cutlery the the music that people hear I try ,the cutlery the the music that people hear I try 
and touch every small aspect I um I I try and and  ,and touch every small aspect I um I I try and and  
influence everything in all of my restaurants ,influence everything in all of my restaurants 
and and deal with the small details and I've  ,and and deal with the small details and I've  
cooked I've written and I've erased more ,cooked I've written and I've erased more 
than 100 menus and after all that attention  ,than 100 menus and after all that attention  
and after being in my in my doing that career ,and after being in my in my doing that career 
for so long I feel I'm only at the beginning  ,for so long I feel I'm only at the beginning  
of my journey and my journey for me personally ,of my journey and my journey for me personally 
is the journey looking for my culinary Legacy  ,is the journey looking for my culinary Legacy  
my journey my journey began around not around 20 ,my journey my journey began around not around 20 
years ago when I was a young cook and I started  ,years ago when I was a young cook and I started  
looking for for the Legacy and my journey began at ,looking for for the Legacy and my journey began at 
foreign countries in libraries in study halls but  ,foreign countries in libraries in study halls but  
pretty soon my journey shifted here to Israel ,pretty soon my journey shifted here to Israel 
shifted into kitchens hot stoves sharp knives,shifted into kitchens hot stoves sharp knives
pilot lights and I pretty soon realized ,pilot lights and I pretty soon realized 
that as a person that was born raised and  ,that as a person that was born raised and  
lived all his life and now raising his ,lived all his life and now raising his 
own family in the city of Jerusalem if  ,own family in the city of Jerusalem if  
I want to find my culinary Legacy I should ,I want to find my culinary Legacy I should 
start looking it for it here in Jerusalem  ,start looking it for it here in Jerusalem  
so where to look I was uh I think I ,so where to look I was uh I think I 
was thinking maybe I should look in in  ,was thinking maybe I should look in in  
um authentic or aromatic Bagel in the old city or ,um authentic or aromatic Bagel in the old city or 
maybe a sweet Kegel in my sharim or should I go  ,maybe a sweet Kegel in Mea She'arim or should I go  
with the all sides included burekas from Musa ,with the all sides included burekas from Musa burekas
in Jaffa Road maybe just a chunky hummus with  ,in Jaffa Road maybe just a chunky hummus with  
a Laffer but realizing without all these amazing ,a Laffa but realizing without all these amazing 
dishes without all these amazing recipes that are  ,dishes without all these amazing recipes that are  
so jerusalemite and so local for me things don't ,so jerusalemite and so local for me things don't 
add up in my mind or in my case in my stomach  ,add up in my mind or in my case in my stomach  
so I went to look for the origin for these ,so I went to look for the origin for these 
well-known well-loved so popular dishes I went  ,well-known well-loved so popular dishes I went  
and I went on a quest searching and in my quest ,and I went on a quest searching and in my quest 
I stumbled upon a quote from vishnavot on a wall  ,I stumbled upon a quote from Mishnah Avot on a wall  
of this amazing small bakery next to one of my ,of this amazing small bakery next to one of my 
restaurants I'll let you read it by yourself and,restaurants I'll let you read it by yourself and
I especially like the last part whereas I ,I especially like the last part whereas I 
get up and find all these things done for me  ,get up and find all these things done for me  
you can imagine how I like that part but um to be ,you can imagine why I like that part but um to be 
honest our ancestors they didn't have they didn't  ,honest our ancestors they didn't have they didn't  
have things so easy it wasn't they couldn't go ,have things so easy it wasn't they couldn't go 
to Ram 11 buy a loaf of bread they had to grow  ,to Rami Levi buy a loaf of bread they had to grow  
the weed themselves they had to to search Grow ,the weed themselves they had to to search Grow 
hunt their own food and I started searching how  ,hunt their own food and I started searching how  
did they do that and realizing that situation ,did they do that and realizing that situation 
here back then wasn't that easy like in Europe  ,here back then wasn't that easy like in Europe  
because rain doesn't it doesn't rain here as much ,because rain doesn't it doesn't rain here as much 
as in Europe water is not that common Roots fruits  ,as in Europe water is not that common Roots fruits  
vegetables even even animals are more rare here ,vegetables even even animals are more rare here 
so I found that our ancestors were pretty smart  ,so I found that our ancestors were pretty smart  
they had with wheat was the most common thing they ,they had wheat wheat was the most common thing they 
had to eat to produce flower form so they used the  ,had to eat to produce flour from so they used the  
wheat throughout the year in order to have food ,wheat throughout the year in order to have food 
and and nourish themselves throughout the year  ,and and nourish themselves throughout the year  
they use the wheat very smartly I learned ,they use the wheat very smartly I learned 
that they used to pick it when only at the  ,that they used to pick it when only at the  
beginning when it grew when it was still green ,beginning when it grew when it was still green 
just pick it from the field and eat the stalks  ,just pick it from the field and eat the stalks  
pretty tasty you should try it one time and and ,pretty tasty you should try it one time and and 
they used to call it spring or the Arabs called  ,they used to call it spring or the Arabs called  
it gamail akda then later on when it's dried ,it Gama Al Akdar then later on when it's dried 
they used to pick the stocks and and the whole  ,they used to pick the stocks and and the whole  
the whole plan and then make big piles in the ,the whole plant and then make big piles in the 
field and light fires around it so the smoke from  ,field and light fires around it so the smoke from  
the fire used to preserve the grains of the weed ,the fire used to preserve the grains of the wheat 
that way they could collect the grains and keep  ,that way they could collect the grains and keep  
them throughout the year because the smoke stops ,them throughout the year because the smoke stops 
they're maturing and and they then they could mail  ,their maturing and and they then they could mill
it later on the year after taking out the grains ,it later on the year after taking out the grains 
they used to they gave them to the Miller and the  ,they used to they gave them to the miller and the  
Millers milled them into fine flour giving the ,millers milled them into fine flour giving the 
flower back to the families to cook their bread  ,flour back to the families to cook their bread  
or bake the bread or back then the Harvest or ,or bake their bread or back then the Khobez or 
the lava as we know it now the bagel or Destroyer  ,the Laffa as we know it now the bagel or the strudel
but the Millers found an amazing thing in ,but the millers found an amazing thing in 
the Milling Stone there was something left  ,the Milling Stone there was something left  
the grain of the weed the the center of the wind ,the grain of the wheat the the center of the wheat 
could not be grinded because of Technology reasons  ,could not be grinded because of Technology reasons  
it wasn't sharp enough they couldn't grind it and ,it wasn't sharp enough they couldn't grind it and 
they found out that the center of the width which  ,they found out that the center of the wheat which  
then they called semolina is the best part of ,then they called semolina is the best part of 
the way the sweetest the one you can bake the  ,the wheat the sweetest the one you can bake the  
most amazing and cook the most amazing dishes ,most amazing and cook the most amazing dishes 
from it was so precious that the Millers sold  ,from it was so precious that the millers sold  
it very very in a very high price and it it was so ,it very very in a very high price and it it was so 
precious that it became a sacrifice in the temple  ,precious that it became a sacrifice in the temple  
um the the priest with the poor honey and oil ,um the the priest would uh pour honey and oil 
over the of the semolina and then praise it  ,over the over the semolina and then praise it  
and yeah it was so precious and so well loved ,and yeah it was so precious and so well loved 
that even after the destruction of the Temple  ,that even after the destruction of the Temple  
it the Habit became that you cook a sweet semolina ,it the Habit became that you cook a sweet semolina 
cake or as my mother my dear partner who his  ,cake or as my mother my dear partner whose
mother called it that's herbus booster by the way ,mother called it Basbousa that's her Basbousa by the way 
um they would bake this special this special cake  ,um they would bake this special this special cake  
in in special events or for special people that's ,in in special events or for special people that's 
the way from the roof the journey for the grain  ,the way from the route the journey for the grain  
of the with being picked in the field becoming a ,of the wheat being picked in the field becoming uh
habit or a legacy of of a country or of a group  ,habit or a legacy of of a country or of a group  
of people that understanding this Ruth uh was ,of people that understanding this route uh was 
mind-blowing for me and it made me feel that my  ,mind-blowing for me and it made me feel that my  
journey as a young chef is totally connected to ,journey as a young chef is totally connected to 
the journey of the grain of the will my journey  ,the journey of the grain of the wheat my journey  
is the Journey of the of the spring and the gamma ,is the Journey of the of the spring and the Gama  
Alaska and of the freaky the green the green with  ,Al Akdar and of the freekeh the green the green wheat 
um and and realizing that this is my journey along ,um and and realizing that this is my journey along 
the 2000 years of wondering of people bringing  ,the 2000 years of wondering of people bringing  
here to Israel all these amazing products like ,here to Israel all these amazing products like 
the grain of the weed like the the semolina cake  ,the grain of the wheat like the the semolina cake  
like the polenta like the corn like the potatoes ,like the polenta like the corn like the potatoes 
and you can go on in your mind about all these  ,and you can go on in your mind about all these  
amazing products they brought here and what the ,amazing products they brought here and what the 
khamene we call it it's it was all brought here  ,Hamin we all eat it's it was all brought here  
so realizing that taught me ,so realizing that taught me 
a lesson of utmost importance  ,a lesson of utmost importance  
it taught me a lesson that in the kitchen like in ,it taught me a lesson that in the kitchen like in 
science like in art like in literature you cannot  ,science like in art like in literature you cannot  
start something new without being zealous ,start something new without being zealous 
to the ancient and the wise you do not have  ,to the ancient and the wise you do not have  
a path without a starting point you do not have ,a path without a starting point you do not have 
a three of fruits without the soil and the seed  ,a tree of fruits without the soil and the seed  
I don't have a restaurant in the center ,I don't have a restaurant in the center 
